id,name,short_name,url_name
1,sydney,SYD,"Sydney, NSW, Australia (SYD-All Airports)"
2,melbourne,MEL,Melbourne (MEL-All Airports)
3,brisbane,BNE,"Brisbane, QLD, Australia (BNE)"
4,perth,PER,"Perth, WA, Australia (PER)"
5,beijing,BJS,"Beijing, China (BJS-All Airports)"
6,shanghai,SHA,"Shanghai, China (SHA-All Airports)"
7,guangzhou,CAN,"Guangzhou, China (CAN-Baiyun Intl.)"
8,shenzhen,SZX,"Shenzhen, China (SZX-Shenzhen)"
9,hongkong,HKG,"Hong Kong, Hong Kong (HKG-Hong Kong Intl.)"
10,Chengdu,CTU,"Chengdu, China (CTU-Shuangliu Intl.)"
11,Chongqing,CKG,"Chongqing, China (CKG-Jiangbei Intl.)"
12,Wuhan,WUH,"Wuhan, China (WUH-Tianhe Intl.)"
13,Hangzhou,HGH,"Hangzhou, China (HGH-Xiaoshan Intl.)"
14,Taipei,TPE,"Taipei, Taiwan (TPE-All Airports)"
15,Bangkok,BKK,"Bangkok, Thailand (BKK-All Airports)"
16,Chiang Mai,CNX,"Chiang Mai, Thailand (CNX-Chiang Mai Intl.)"
17,Phuket,HKT,"Phuket, Thailand (HKT-Phuket Intl.)"
18,Seoul,SEL,"Seoul, South Korea (SEL-All Airports)"
19,Busan,PUS,"Busan, South Korea (PUS-Gimhae)"
20,Tokyo,TYO,"Tokyo, Japan (TYO-All Airports)"
21,Osaka,OSA,"Osaka, Japan (OSA-All Airports)"
22,Nagoya,NGO,"Nagoya, Japan (NGO-All Airports)"
23,Singapore,SIN,"Singapore, Singapore (SIN-All Airports)"
24,Kuala Lumpur,KUL,"Kuala Lumpur, Malaysia (KUL-All Airports)"
25,Ho Chi Minh City,SGN,"Ho Chi Minh City, Vietnam (SGN-Tan Son Nhat Intl.)"
26,Manila,MNL,"Manila, Philippines (MNL-Ninoy Aquino Intl.)"
27,Jakarta,JKT,"Jakarta, Indonesia (JKT-All Airports)"
28,Vancouver,YVR,"Vancouver, BC, Canada (YVR-All Airports)"
29,New York,NYC,"New York, NY, United States (NYC-All Airports)"
30,Los Angeles,QLA,"Los Angeles, CA, United States (QLA-All Airports)"
31,San Francisco,SFO,"San Francisco, CA, United States (SFO-San Francisco Intl.)"
32,Honolulu,HNL,"Honolulu, HI, United States (HNL-Honolulu Intl.)"
33,London,LON,"London, England, UK (LON-All Airports)"
34,Frankfurt,FRA,"Frankfurt, Germany (FRA-All Airports)"
35,Paris,PAR,"Paris, France (PAR-All Airports)"
36,Rome,ROM,"Rome, Italy (ROM-All Airports)"
37,Venice,VCE,"Venice, Italy (VCE-All Airports)"
38,Florence,FLR,"Florence, Italy (FLR-Peretola)"
39,Milan,MIL,"Milan, Italy (MIL-All Airports)"
40,Auckland,AKL,"Auckland, New Zealand (AKL-Auckland Intl.)"
