Country,Year,Date,Holiday Name,Holiday Type,Weekday,Where It is Observed
afghanistan,2017,2017-02-05,Non-working Day,Observance,Sunday,
afghanistan,2017,2017-02-14,Soviet Withdrawal from Afghanistan,Public Holiday,Tuesday,
afghanistan,2017,2017-03-20,March equinox,Season,Monday,
afghanistan,2017,2017-04-28,Afghan Victory Day,Public Holiday,Friday,
afghanistan,2017,2017-04-29,Afghan Victory Day observed,Public Holiday,Saturday,
afghanistan,2017,2017-05-27,Ramadan starts,Public Holiday,Saturday,
afghanistan,2017,2017-06-21,June Solstice,Season,Wednesday,
afghanistan,2017,2017-06-26,Eid al-Fitr,Public Holiday,Monday,
afghanistan,2017,2017-08-19,Independence Day (National Day),Public Holiday,Saturday,
afghanistan,2017,2017-09-02,Eid al-Qurban,Public Holiday,Saturday,
afghanistan,2017,2017-09-22,September equinox,Season,Friday,
afghanistan,2017,2017-10-01,Ashura,Public Holiday,Sunday,
afghanistan,2017,2017-11-09,Arba'een,Observance,Thursday,
afghanistan,2017,2017-12-01,The Prophet's Birthday,Public Holiday,Friday,
afghanistan,2017,2017-12-21,December Solstice,Season,Thursday,
afghanistan,2018,2018-03-20,March equinox,Season,Tuesday,
afghanistan,2018,2018-04-28,Afghan Victory Day,Public Holiday,Saturday,
afghanistan,2018,2018-05-16,Ramadan starts,Public Holiday,Wednesday,
afghanistan,2018,2018-06-15,Eid al-Fitr,Public Holiday,Friday,
afghanistan,2018,2018-06-21,June Solstice,Season,Thursday,
afghanistan,2018,2018-08-19,Independence Day (National Day),Public Holiday,Sunday,
afghanistan,2018,2018-08-22,Eid al-Qurban,Public Holiday,Wednesday,
afghanistan,2018,2018-09-21,Ashura,Public Holiday,Friday,
afghanistan,2018,2018-09-23,September equinox,Season,Sunday,
afghanistan,2018,2018-10-30,Arba'een,Observance,Tuesday,
afghanistan,2018,2018-11-21,The Prophet's Birthday,Public Holiday,Wednesday,
afghanistan,2018,2018-12-21,December Solstice,Season,Friday,
afghanistan,2019,2019-03-20,March equinox,Season,Wednesday,
afghanistan,2019,2019-04-28,Afghan Victory Day,Public Holiday,Sunday,
afghanistan,2019,2019-05-06,Ramadan starts,Public Holiday,Monday,
afghanistan,2019,2019-06-05,Eid al-Fitr,Public Holiday,Wednesday,
afghanistan,2019,2019-06-21,June Solstice,Season,Friday,
afghanistan,2019,2019-08-12,Eid al-Qurban,Public Holiday,Monday,
afghanistan,2019,2019-08-19,Independence Day (National Day),Public Holiday,Monday,
afghanistan,2019,2019-09-10,Ashura,Public Holiday,Tuesday,
afghanistan,2019,2019-09-23,September equinox,Season,Monday,
afghanistan,2019,2019-11-10,The Prophet's Birthday,Public Holiday,Sunday,
afghanistan,2019,2019-12-22,December Solstice,Season,Sunday,
afghanistan,2020,2020-03-20,March equinox,Season,Friday,
afghanistan,2020,2020-04-24,Ramadan starts,Public Holiday,Friday,
afghanistan,2020,2020-04-28,Afghan Victory Day,Public Holiday,Tuesday,
afghanistan,2020,2020-05-24,Eid al-Fitr,Public Holiday,Sunday,
afghanistan,2020,2020-06-20,June Solstice,Season,Saturday,
afghanistan,2020,2020-07-31,Eid al-Qurban,Public Holiday,Friday,
afghanistan,2020,2020-08-19,Independence Day (National Day),Public Holiday,Wednesday,
afghanistan,2020,2020-08-29,Ashura,Public Holiday,Saturday,
afghanistan,2020,2020-09-22,September equinox,Season,Tuesday,
afghanistan,2020,2020-10-29,The Prophet's Birthday,Public Holiday,Thursday,
afghanistan,2020,2020-12-21,December Solstice,Season,Monday,
albania,2017,2017-01-01,New Year's Day,National holiday,Sunday,
albania,2017,2017-01-02,New Year's Day (Day 2),National holiday,Monday,
albania,2017,2017-02-14,Valentine's Day,Observance,Tuesday,
albania,2017,2017-03-08,Mothers' Day,Observance,Wednesday,
albania,2017,2017-03-14,Summer Day,National holiday,Tuesday,
albania,2017,2017-03-20,March equinox,Season,Monday,
albania,2017,2017-03-22,Nevruz Day,National holiday,Wednesday,
albania,2017,2017-03-26,Daylight Saving Time starts,Clock change/Daylight Saving Time,Sunday,
albania,2017,2017-04-14,Good Friday,Observance,Friday,
albania,2017,2017-04-14,Good Friday (Orthodox),"Observance, Orthodox",Friday,
albania,2017,2017-04-15,Holy Saturday,Observance,Saturday,
albania,2017,2017-04-15,Easter Saturday (Orthodox),"Observance, Orthodox",Saturday,
albania,2017,2017-04-16,Easter Sunday,National holiday,Sunday,
albania,2017,2017-04-16,Easter Sunday (Orthodox),"National holiday, Orthodox",Sunday,
albania,2017,2017-04-17,Easter Monday,Observance,Monday,
albania,2017,2017-04-17,Easter Monday (Orthodox),"Observance, Orthodox",Monday,
albania,2017,2017-05-01,Labour Day/May Day,National holiday,Monday,
albania,2017,2017-06-18,Fathers' Day,Observance,Sunday,
albania,2017,2017-06-21,June Solstice,Season,Wednesday,
albania,2017,2017-06-26,End of Ramadan (Eid al-Fitr),National holiday,Monday,
albania,2017,2017-09-02,Feast of the Sacrifice,National holiday,Saturday,
albania,2017,2017-09-22,September equinox,Season,Friday,
