12-05 11:30:48.229 172.17.0.2:54321      253    #read-489 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:48.229 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:48.230 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.38 GB + FREE:928.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:48.396 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:48.910 172.17.0.2:54321      253    #read-463 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:49.249 172.17.0.2:54321      253    #read-478 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:48.567 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:49.249 172.17.0.2:54321      253    #read-483 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:49.249 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.38 GB + FREE:929.5 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:49.420 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:50.527 172.17.0.2:54321      253    #read-485 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:50.527 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:30:50.526 172.17.0.2:54321      253    #read-478 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
