12-05 11:43:36.390 172.17.0.2:54321      252    #1610-391 WARN: _train: Dropping bad and constant columns: [retWeekOfYear, retDayOfWeek]
12-05 11:43:36.707 172.17.0.2:54321      252    FJ-1-15   WARN: _validation_frame: Test/Validation dataset column 'toCity' has levels not trained on: [Jakarta]
12-05 11:43:36.708 172.17.0.2:54321      252    FJ-1-15   WARN: _validation_frame: Test/Validation dataset column 'leg1_carrierSummary_airlineName' has levels not trained on: [Aeromexico, Scoot/TigerAir Singapore, Sri Lankan Airlines]
12-05 11:43:36.708 172.17.0.2:54321      252    FJ-1-15   WARN: _validation_frame: Test/Validation dataset column 'leg2_carrierSummary_airlineName' has levels not trained on: [Aeromexico, Air Niugini, Kenya Airways, Lucky Air, Scoot/TigerAir Singapore]
12-05 11:43:38.122 172.17.0.2:54321      252    FJ-1-15   WARN: Test/Validation dataset column 'toCity' has levels not trained on: [Jakarta]
12-05 11:43:38.122 172.17.0.2:54321      252    FJ-1-15   WARN: Test/Validation dataset column 'leg1_carrierSummary_airlineName' has levels not trained on: [Aeromexico, Scoot/TigerAir Singapore, Sri Lankan Airlines]
12-05 11:43:38.122 172.17.0.2:54321      252    FJ-1-15   WARN: Test/Validation dataset column 'leg2_carrierSummary_airlineName' has levels not trained on: [Aeromexico, Air Niugini, Kenya Airways, Lucky Air, Scoot/TigerAir Singapore]
12-05 11:43:58.412 172.17.0.2:54321      252    FJ-1-15   WARN: Test/Validation dataset column 'toCity' has levels not trained on: [Jakarta]
12-05 11:43:58.412 172.17.0.2:54321      252    FJ-1-15   WARN: Test/Validation dataset column 'leg1_carrierSummary_airlineName' has levels not trained on: [Aeromexico, Scoot/TigerAir Singapore, Sri Lankan Airlines]
12-05 11:43:58.412 172.17.0.2:54321      252    FJ-1-15   WARN: Test/Validation dataset column 'leg2_carrierSummary_airlineName' has levels not trained on: [Aeromexico, Air Niugini, Kenya Airways, Lucky Air, Scoot/TigerAir Singapore]
12-05 11:46:03.091 172.17.0.2:54321      252    FJ-1-15   WARN: Test/Validation dataset column 'toCity' has levels not trained on: [Jakarta]
